1;arms_factory;2240.00;15.40;283.00;5.62;0
1;industrial_complex;2239.76;15.40;283.96;1.86;0
1;air_base;2239.08;15.46;284.68;1.85;0
1;anti_air_building;2238.14;15.40;284.99;2.16;0
1;synthetic_refinery;2237.17;15.46;284.82;4.89;0
1;fuel_silo;2236.40;15.46;284.20;4.50;0
1;radar_station;2236.02;15.46;283.28;2.09;0
1;rocket_site;2236.13;15.46;282.30;5.00;0
1;nuclear_reactor;2236.69;15.46;281.49;6.00;0
1;bunker;2237.58;15.46;281.04;6.10;0
1;supply_node;2238.57;15.46;281.08;0.31;0
2;arms_factory;2540.00;15.94;172.00;5.94;0
2;industrial_complex;2539.76;15.88;172.96;0.04;0
2;air_base;2539.08;15.88;173.68;4.92;0
2;anti_air_building;2538.14;15.88;173.99;5.97;0
2;synthetic_refinery;2537.17;15.82;173.82;3.93;0
2;fuel_silo;2536.40;15.76;173.20;1.68;0
2;radar_station;2536.02;15.82;172.28;2.55;0
2;rocket_site;2536.13;15.94;171.30;3.82;0
2;nuclear_reactor;2536.69;15.88;170.49;2.59;0
2;bunker;2537.58;15.88;170.04;0.27;0
2;supply_node;2538.57;15.88;170.08;3.48;0
3;arms_factory;2888.00;15.70;750.00;4.67;0
3;industrial_complex;2887.76;15.82;750.96;3.92;0
3;air_base;2887.08;15.70;751.68;1.02;0
3;anti_air_building;2886.14;15.82;751.99;2.65;0
3;synthetic_refinery;2885.17;15.88;751.82;3.73;0
3;fuel_silo;2884.40;15.94;751.20;4.77;0
3;radar_station;2884.02;16.00;750.28;3.19;0
3;rocket_site;2884.13;16.19;749.30;0.24;0
3;nuclear_reactor;2884.69;16.37;748.49;2.19;0
3;bunker;2885.58;16.19;748.04;1.44;0
3;supply_node;2886.57;16.06;748.08;3.08;0
4;arms_factory;2803.00;15.34;263.00;3.03;0
4;industrial_complex;2802.76;15.34;263.96;5.96;0
4;air_base;2802.08;15.27;264.68;1.76;0
4;anti_air_building;2801.14;15.27;264.99;2.58;0
4;synthetic_refinery;2800.17;15.27;264.82;0.05;0
4;fuel_silo;2799.40;15.27;264.20;6.02;0
4;radar_station;2799.02;15.27;263.28;1.97;0
4;rocket_site;2799.13;15.27;262.30;0.62;0
4;nuclear_reactor;2799.69;15.27;261.49;2.98;0
4;bunker;2800.58;15.27;261.04;0.15;0
4;supply_node;2801.57;15.27;261.08;3.34;0
5;arms_factory;2402.00;15.27;840.00;6.15;0
5;industrial_complex;2401.76;15.27;840.96;3.53;0
5;air_base;2401.08;15.27;841.68;4.42;0
5;anti_air_building;2400.14;15.27;841.99;1.53;0
5;synthetic_refinery;2399.17;15.27;841.82;3.30;0
5;fuel_silo;2398.40;15.27;841.20;1.51;0
5;radar_station;2398.02;15.27;840.28;5.46;0
5;rocket_site;2398.13;15.27;839.30;4.48;0
5;nuclear_reactor;2398.69;15.27;838.49;3.53;0
5;bunker;2399.58;15.27;838.04;0.61;0
5;supply_node;2400.57;15.27;838.08;4.43;0
6;arms_factory;2491.00;17.95;438.00;2.13;0
6;industrial_complex;2490.76;17.89;438.96;4.70;0
6;air_base;2490.08;17.83;439.68;5.76;0
6;anti_air_building;2489.14;17.95;439.99;2.45;0
6;synthetic_refinery;2488.17;18.19;439.82;4.13;0
6;fuel_silo;2487.40;17.95;439.20;5.52;0
6;radar_station;2487.02;17.89;438.28;4.43;0
6;rocket_site;2487.13;17.71;437.30;1.52;0
6;nuclear_reactor;2487.69;17.71;436.49;5.00;0
6;bunker;2488.58;17.77;436.04;0.95;0
6;supply_node;2489.57;17.77;436.08;3.85;0
7;arms_factory;2523.00;15.27;956.00;1.73;0
7;industrial_complex;2522.76;15.27;956.96;5.73;0
7;air_base;2522.08;15.27;957.68;0.60;0
7;anti_air_building;2521.14;15.27;957.99;4.00;0
7;synthetic_refinery;2520.17;15.27;957.82;1.63;0
7;fuel_silo;2519.40;15.27;957.20;3.38;0
7;radar_station;2519.02;15.27;956.28;1.58;0
7;rocket_site;2519.13;15.27;955.30;2.84;0
7;nuclear_reactor;2519.69;15.34;954.49;2.10;0
7;bunker;2520.58;15.27;954.04;3.35;0
7;supply_node;2521.57;15.27;954.08;2.89;0
8;arms_factory;2620.00;15.27;735.00;1.07;0
8;industrial_complex;2619.76;15.27;735.96;5.54;0
8;air_base;2619.08;15.27;736.68;2.55;0
8;anti_air_building;2618.14;15.27;736.99;2.96;0
8;synthetic_refinery;2617.17;15.27;736.82;1.01;0
8;fuel_silo;2616.40;15.27;736.20;2.32;0
8;radar_station;2616.02;15.27;735.28;4.18;0
8;rocket_site;2616.13;15.27;734.30;2.25;0
8;nuclear_reactor;2616.69;15.27;733.49;2.26;0
8;bunker;2617.58;15.27;733.04;4.19;0
8;supply_node;2618.57;15.27;733.08;5.65;0
9;arms_factory;2738.00;15.40;926.00;1.34;0
9;industrial_complex;2737.76;15.40;926.96;3.30;0
9;air_base;2737.08;15.40;927.68;5.41;0
9;anti_air_building;2736.14;15.46;927.99;2.82;0
9;synthetic_refinery;2735.17;15.46;927.82;5.70;0
9;fuel_silo;2734.40;15.46;927.20;0.85;0
9;radar_station;2734.02;15.46;926.28;4.23;0
9;rocket_site;2734.13;15.46;925.30;4.21;0
9;nuclear_reactor;2734.69;15.46;924.49;4.63;0
